"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","euthanasia","method_specific_simplified","spec","species_for_reader","species","studies","observation","study","yi","vi","backtrans","phylo","species_char","family"
"303",287,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,3,2,0.666667,"Eonycteris spelaea","betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Los Baños","","NA","NA","2008","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","1","0","0","0",NA,NA,"Yes, for this study","PCR",1,"Eonycteris spelaea","Eonycteris spelaea","bat coronaviruses and experimental infection of bats, the philippines","11","bat coronaviruses and experimental infection of bats, the philippines",0.916297857297023,0.0714285714285714,0.666666666666667,"Eonycteris spelaea","Eonycteris spelaea","PTEROPODIDAE"
"304",288,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,14,11,0.785714,"Ptenochirus jagori","betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Los Baños","","NA","NA","2008","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","1","0","0","0",NA,NA,"Yes, for this study","PCR",1,"Ptenochirus jagori","Ptenochirus jagori","bat coronaviruses and experimental infection of bats, the philippines","12","bat coronaviruses and experimental infection of bats, the philippines",1.06765297116967,0.0172413793103448,0.785714285714286,"Ptenochirus jagori","Ptenochirus jagori","PTEROPODIDAE"
"305",289,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,1,1,1,"Cynopterus brachyotis","betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site A","NA","NA","2008","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","1","0","0","0",NA,NA,"Yes, for this study","PCR",1,"Cynopterus brachyotis","Cynopterus brachyotis","bat coronaviruses and experimental infection of bats, the philippines","13","bat coronaviruses and experimental infection of bats, the philippines",1.17809724509617,0.166666666666667,1,"Cynopterus brachyotis","Cynopterus brachyotis","PTEROPODIDAE"
"306",290,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,1,1,1,"Eonycteris spelaea","betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site A","NA","NA","2008","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","1","0","0","0",NA,NA,"Yes, for this study","PCR",1,"Eonycteris spelaea","Eonycteris spelaea","bat coronaviruses and experimental infection of bats, the philippines","14","bat coronaviruses and experimental infection of bats, the philippines",1.17809724509617,0.166666666666667,1,"Eonycteris spelaea","Eonycteris spelaea","PTEROPODIDAE"
"308",292,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,1,1,1,"Eonycteris spelaea","betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site B","NA","NA","2008","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","1","0","0","0",NA,NA,"Yes, for this study","PCR",1,"Eonycteris spelaea","Eonycteris spelaea","bat coronaviruses and experimental infection of bats, the philippines","15","bat coronaviruses and experimental infection of bats, the philippines",1.17809724509617,0.166666666666667,1,"Eonycteris spelaea","Eonycteris spelaea","PTEROPODIDAE"
"311",295,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,18,6,0.333333,"Cynopterus brachyotis","betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site C","NA","NA","2008","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","1","0","0","0",NA,NA,"Yes, for this study","PCR",1,"Cynopterus brachyotis","Cynopterus brachyotis","bat coronaviruses and experimental infection of bats, the philippines","16","bat coronaviruses and experimental infection of bats, the philippines",0.624497151027965,0.0135135135135135,0.333333333333333,"Cynopterus brachyotis","Cynopterus brachyotis","PTEROPODIDAE"
"313",297,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,1,1,1,"Rousettus amplexicaudatus","betacoronavirus","","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site C","NA","NA","2008","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","intestine","1","0","0","0",NA,NA,"Yes, for this study","PCR",1,"Rousettus amplexicaudatus","Rousettus amplexicaudatus","bat coronaviruses and experimental infection of bats, the philippines","17","bat coronaviruses and experimental infection of bats, the philippines",1.17809724509617,0.166666666666667,1,"Rousettus amplexicaudatus","Rousettus amplexicaudatus","PTEROPODIDAE"
"314",298,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,84,1,0.011905,"Rousettus leschenaulti","betacoronavirus","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single","",NA,"serum","China","N"," Guangxi","Nanning","NA","NA","2004","","",NA,"","March","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","blood or serum","0","0","0","1",NA,NA,"No","ELISA",1,"Rousettus leschenaultii","Rousettus leschenaultii","bats are natural reservoirs of sars-like coronaviruses","18","bats are natural reservoirs of sars-like coronaviruses",0.131340019284689,0.0029585798816568,0.0119047619047619,"Rousettus leschenaultii","Rousettus leschenaultii","PTEROPODIDAE"
"315",299,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,42,0,0,"Rousettus leschenaulti","betacoronavirus","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single","",NA,"serum","China","N","Guangdong","Maoming","NA","NA","2004","","",NA,"","March","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","blood or serum","0","0","0","1",NA,NA,"No","ELISA",1,"Rousettus leschenaultii","Rousettus leschenaultii","bats are natural reservoirs of sars-like coronaviruses","19","bats are natural reservoirs of sars-like coronaviruses",0.0765479613934273,0.00588235294117647,0,"Rousettus leschenaultii","Rousettus leschenaultii","PTEROPODIDAE"
"316",300,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,17,0,0,"Cynopterus sphinx","betacoronavirus","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single","",NA,"serum","China","N","Guangdong","Maoming","NA","NA","2004","","",NA,"","March","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","blood or serum","0","0","0","1",NA,NA,"No","ELISA",1,"Cynopterus sphinx","Cynopterus sphinx","bats are natural reservoirs of sars-like coronaviruses","20","bats are natural reservoirs of sars-like coronaviruses",0.118970562415104,0.0142857142857143,0,"Cynopterus sphinx","Cynopterus sphinx","PTEROPODIDAE"
"317",301,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,4,0,0,"Rhinolophus ferrumequinum","betacoronavirus","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single","",NA,"serum","China","N","Hubei","Yichang","NA","NA","2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","blood or serum","0","1","0","0",NA,NA,"No","ELISA",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","bats are natural reservoirs of sars-like coronaviruses","21","bats are natural reservoirs of sars-like coronaviruses",0.231823804500403,0.0555555555555556,0,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"318",302,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,7,5,0.714286,"Rhinolophus macrotis","betacoronavirus","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single","",NA,"serum","China","N","Hubei","Yichang","NA","NA","2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","blood or serum","0","1","0","0",NA,NA,"No","ELISA",1,"Rhinolophus macrotis","Rhinolophus macrotis","bats are natural reservoirs of sars-like coronaviruses","22","bats are natural reservoirs of sars-like coronaviruses",0.979467921082543,0.0333333333333333,0.714285714285714,"Rhinolophus macrotis","Rhinolophus macrotis","RHINOLOPHIDAE"
"319",303,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,1,0,0,"Nyctalus plancyi","betacoronavirus","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single","",NA,"serum","China","N","Hubei","Yichang","NA","NA","2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","blood or serum","0","1","0","0",NA,NA,"No","ELISA",1,"Nyctalus plancyi","Nyctalus plancyi","bats are natural reservoirs of sars-like coronaviruses","23","bats are natural reservoirs of sars-like coronaviruses",0.392699081698724,0.166666666666667,0,"Nyctalus plancyi","Nyctalus plancyi","VESPERTILIONIDAE"
"320",304,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,1,0,0,"Miniopterus schreibersi","betacoronavirus","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single","",NA,"serum","China","N","Hubei","Yichang","NA","NA","2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","blood or serum","0","1","0","0",NA,NA,"No","ELISA",1,"Miniopterus schreibersii","Miniopterus schreibersii","bats are natural reservoirs of sars-like coronaviruses","24","bats are natural reservoirs of sars-like coronaviruses",0.392699081698724,0.166666666666667,0,"Miniopterus schreibersii","Miniopterus schreibersii","VESPERTILIONIDAE"
"321",305,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,1,0,0,"Myotis altarium","betacoronavirus","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single","",NA,"serum","China","N","Hubei","Yichang","NA","NA","2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","blood or serum","0","1","0","0",NA,NA,"No","ELISA",1,"Myotis altarium","Myotis altarium","bats are natural reservoirs of sars-like coronaviruses","25","bats are natural reservoirs of sars-like coronaviruses",0.392699081698724,0.166666666666667,0,"Myotis altarium","Myotis altarium","VESPERTILIONIDAE"
"322",306,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,58,1,0.017241,"Rousettus leschenaulti","betacoronavirus","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single","",NA,"serum","China","N"," Guangxi","Nanning","NA","NA","2004","","",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","blood or serum","0","0","1","0",NA,NA,"No","ELISA",1,"Rousettus leschenaultii","Rousettus leschenaultii","bats are natural reservoirs of sars-like coronaviruses","26","bats are natural reservoirs of sars-like coronaviruses",0.157865412965439,0.00427350427350427,0.0172413793103448,"Rousettus leschenaultii","Rousettus leschenaultii","PTEROPODIDAE"
"323",307,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,46,13,0.282609,"Rhinolophus pearsoni","betacoronavirus","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single","",NA,"serum","China","N"," Guangxi","Nanning","NA","NA","2004","","",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","blood or serum","0","0","1","0",NA,NA,"No","ELISA",1,"Rhinolophus pearsonii","Rhinolophus pearsonii","bats are natural reservoirs of sars-like coronaviruses","27","bats are natural reservoirs of sars-like coronaviruses",0.565558345419297,0.00537634408602151,0.282608695652174,"Rhinolophus pearsonii","Rhinolophus pearsonii","RHINOLOPHIDAE"
"324",308,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,6,2,0.333333,"Rhinolophus pusillus","betacoronavirus","Sarbecovirus","","","single","cross-sectional","antibody","ELISA","single","",NA,"serum","China","N"," Guangxi","Nanning","NA","NA","2004","","",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","blood or serum","0","0","1","0",NA,NA,"No","ELISA",1,"Rhinolophus pusillus","Rhinolophus pusillus","bats are natural reservoirs of sars-like coronaviruses","28","bats are natural reservoirs of sars-like coronaviruses",0.638833510152697,0.0384615384615385,0.333333333333333,"Rhinolophus pusillus","Rhinolophus pusillus","RHINOLOPHIDAE"
"325",309,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,110,0,0,"Rousettus leschenaulti","betacoronavirus","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N"," Guangxi","Nanning","NA","NA","2004","","",NA,"","March","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","0","0","0","1",NA,NA,"No","PCR",1,"Rousettus leschenaultii","Rousettus leschenaultii","bats are natural reservoirs of sars-like coronaviruses","29","bats are natural reservoirs of sars-like coronaviruses",0.0475294483383396,0.00226244343891403,0,"Rousettus leschenaultii","Rousettus leschenaultii","PTEROPODIDAE"
"326",310,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,45,0,0,"Rousettus leschenaulti","betacoronavirus","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Guangdong","Maoming","NA","NA","2004","","",NA,"","March","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","0","0","0","1",NA,NA,"No","PCR",1,"Rousettus leschenaultii","Rousettus leschenaultii","bats are natural reservoirs of sars-like coronaviruses","30","bats are natural reservoirs of sars-like coronaviruses",0.0739907303743919,0.00549450549450549,0,"Rousettus leschenaultii","Rousettus leschenaultii","PTEROPODIDAE"
"327",311,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,27,0,0,"Cynopterus sphinx","betacoronavirus","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Guangdong","Maoming","NA","NA","2004","","",NA,"","March","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","0","0","0","1",NA,NA,"No","PCR",1,"Cynopterus sphinx","Cynopterus sphinx","bats are natural reservoirs of sars-like coronaviruses","31","bats are natural reservoirs of sars-like coronaviruses",0.0950628016732334,0.00909090909090909,0,"Cynopterus sphinx","Cynopterus sphinx","PTEROPODIDAE"
"328",312,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,55,0,0,"Rousettus leschenaulti","betacoronavirus","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Guangxi","Nanning","NA","NA","2004","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","1","0","0","0",NA,NA,"No","PCR",1,"Rousettus leschenaultii","Rousettus leschenaultii","bats are natural reservoirs of sars-like coronaviruses","32","bats are natural reservoirs of sars-like coronaviruses",0.0670157807056095,0.0045045045045045,0,"Rousettus leschenaultii","Rousettus leschenaultii","PTEROPODIDAE"
"329",313,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,21,0,0,"Myotis ricketti","betacoronavirus","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Tianjin","","NA","NA","2004","","",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","1","0","0","0",NA,NA,"No","PCR",1,"Myotis pilosus","Myotis pilosus","bats are natural reservoirs of sars-like coronaviruses","33","bats are natural reservoirs of sars-like coronaviruses",0.107424916537856,0.0116279069767442,0,"Myotis pilosus","Myotis pilosus","VESPERTILIONIDAE"
"330",314,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,15,0,0,"Rhinolophus pusillus","betacoronavirus","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Hubei","Yichang","NA","NA","2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","PCR",1,"Rhinolophus pusillus","Rhinolophus pusillus","bats are natural reservoirs of sars-like coronaviruses","34","bats are natural reservoirs of sars-like coronaviruses",0.126340127571039,0.0161290322580645,0,"Rhinolophus pusillus","Rhinolophus pusillus","RHINOLOPHIDAE"
"331",315,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,8,1,0.125,"Rhinolophus ferrumequinum","betacoronavirus","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Hubei","Yichang","NA","NA","2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","PCR",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","bats are natural reservoirs of sars-like coronaviruses","35","bats are natural reservoirs of sars-like coronaviruses",0.415359793871717,0.0294117647058824,0.125,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"332",316,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,8,1,0.125,"Rhinolophus macrotis","betacoronavirus","Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Hubei","Yichang","NA","NA","2004","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","0","1","0","0",NA,NA,"No","PCR",1,"Rhinolophus macrotis","Rhinolophus macrotis","bats are natural reservoirs of sars-like coronaviruses","36","bats are natural reservoirs of sars-like coronaviruses",0.415359793871717,0.0294117647058824,0.125,"Rhinolophus macrotis","Rhinolophus macrotis","RHINOLOPHIDAE"
